,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,originalMetaBriteBarcode,originalMetaBriteDescription,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,needsFetchReviewReason,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,userFlaggedDescription,deleted,priceAfterCoupon,metabriteCampaignId,originalFinalPrice,originalMetaBriteItemPrice,receipt_id,brandID,itemID
0,,,,,True,11,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,1
1,,,,,True,10,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,2
2,,,,,True,9,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,3
3,,,,,True,8,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,4
4,,,,,True,7,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,5
5,,,,,True,6,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,6
6,,,,,True,5,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,7
7,,,,,True,4,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,8
8,,,,,True,3,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,9
9,,,,,True,2,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5f9c74f70a7214ad07000037,,10
10,075925306254,,1,1,,1,,1.0,,,,,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,,,,,,,,,True,,,,,,,5f9c74f70a7214ad07000037,,11
11,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,5,True,1,034100573065,True,1.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,30.0,77,,,,,,,,5f9c74f90a7214ad07000038,,12
12,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,3,True,1,034100573065,True,1.00,1.0,034100573065,MILLER LITE 24 PACK 12OZ CAN,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,1.0,30.0,77,,,,,,1.00,1.00,5f9c74f90a7214ad07000038,,13
13,075925306254,,10.00,10.00,False,2,True,2,075925306254,True,10.00,2.0,075925306254,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,2.0,,,True,,,,,10.00,10.00,5f9c74f90a7214ad07000038,,14
14,075925306254,,1,1,False,1,,1,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,,,,5f9c74f90a7214ad07000038,,15
15,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,4,True,1,034100573065,True,1.00,1.0,034100573065,MILLER LITE 24 PACK 12OZ CAN,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,1.0,30.0,77,,,,,,1.00,1.00,5f9c74f90a7214ad07000038,,16
16,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,8,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,17
17,075925306254,,1,1,False,1,,1,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,,,,5fa5ad370a720f05ef000089,,18
18,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,2,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,19
19,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,3,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,20
20,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,4,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,21
21,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,5,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,22
22,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,6,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,23
23,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,7,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,24
24,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,9,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,25
25,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,10,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,26
26,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,False,11,True,1,034100573065,True,29.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,,,,5fa5ad370a720f05ef000089,,27
27,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,3,True,1,034100573065,True,1.00,1.0,034100573065,MILLER LITE 24 PACK 12OZ CAN,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,1.0,30.0,77,,,,,,1.00,1.00,5fa5b0ca0a720f05ef0000bf,,28
28,075925306254,,10.00,10.00,False,2,True,2,075925306254,True,10.00,2.0,075925306254,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,2.0,,,True,,,,,10.00,10.00,5fa5b0ca0a720f05ef0000bf,,29
29,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,4,True,1,034100573065,True,1.00,1.0,034100573065,MILLER LITE 24 PACK 12OZ CAN,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,1.0,30.0,77,,,,,,1.00,1.00,5fa5b0ca0a720f05ef0000bf,,30
30,075925306254,,1,1,False,1,,1,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,,,,5fa5b0ca0a720f05ef0000bf,,31
31,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,5,True,1,034100573065,True,1.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,30.0,77,,,,,,,,5fa5b0ca0a720f05ef0000bf,,32
32,,,,,True,2,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,33
33,075925306254,,1,1,,1,,1.0,,,,,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,,,,,,,,,True,,,,,,,5fa8d5730a7214adc30001c3,,34
34,,,,,True,5,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,35
35,,,,,True,3,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,36
36,,,,,True,4,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,37
37,,,,,True,11,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,38
38,,,,,True,10,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,39
39,,,,,True,9,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,40
40,,,,,True,8,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,41
41,,,,,True,7,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,42
42,,,,,True,6,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fa8d5730a7214adc30001c3,,43
43,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,5,True,1,034100573065,True,1.00,1.0,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,30.0,77,,,,,,,,5fa8d5790a7214adc30001c4,,44
44,075925306254,,1,1,False,1,,1,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,,,,5fa8d5790a7214adc30001c4,,45
45,075925306254,,10.00,10.00,False,2,True,2,075925306254,True,10.00,2.0,075925306254,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,2.0,,,True,,,,,10.00,10.00,5fa8d5790a7214adc30001c4,,46
46,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,4,True,1,034100573065,True,1.00,1.0,034100573065,MILLER LITE 24 PACK 12OZ CAN,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,1.0,30.0,77,,,,,,1.00,1.00,5fa8d5790a7214adc30001c4,,47
47,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,False,3,True,1,034100573065,True,1.00,1.0,034100573065,MILLER LITE 24 PACK 12OZ CAN,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,1.0,30.0,77,,,,,,1.00,1.00,5fa8d5790a7214adc30001c4,,48
48,,,,,True,10,True,,034100573065,True,29.00,1.0,,,,,,,,,,,,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,5fb1bd510a7214ad890000e3,,49
